"","Lab_ID","ID","time","Amt.N","Amt.C","sample.mass","d15N","d13C","per.N","per.C"
"56","PNE-YLP-05","yp_15",9,NA,NA,0.465,11.26,-23.54,10.72,32.32
"57","PNE-YLP-10","yp_16",0,0.0615455534658207,0.202213063493216,0.443,11.99725,-26.7004544228141,0.138929014595532,0.456462897275883
"58","PNE-YLP-10","yp_16",3,0.064350858,0.202312392,0.452,12.21754545,-26.77042554,0.142369154,0.447593787
"59","PNE-YLP-10","yp_16",6,NA,NA,0.44,12.61,-26.62,15.36,46.8
"60","PNE-YLP-10","yp_16",9,NA,NA,0.453,12.14,-26.54,15.08,45.81
"61","PNE-YLP-11","yp_17",0,0.0618310597034899,0.210589718088952,0.449,11.50425,-25.5424163355929,0.137708373504432,0.46901941667918
"62","PNE-YLP-11","yp_17",3,0.068432872,0.214915563,0.471,11.32854545,-25.5516124,0.145292722,0.456296311
"63","PNE-YLP-11","yp_17",6,NA,NA,0.462,11.72,-25.53,15.45,46.95
"64","PNE-YLP-11","yp_17",9,NA,NA,0.436,11.41,-24.84,11.82,35.72
"65","PNE-YLP-12","yp_18",0,0.063131326086176,0.206314870012194,0.462,11.2808287725082,-25.103632282082,0.13664789196142,0.446568982710377
"66","PNE-YLP-12","yp_18",3,0.063659118,0.2013425,0.434,11.88954545,-24.42550071,0.146679996,0.463922811
"67","PNE-YLP-12","yp_18",6,NA,NA,0.445,11.1,-23.41,15.66,47.51
"68","PNE-YLP-12","yp_18",9,NA,NA,NA,NA,NA,NA,NA
"69","PNE-YLP-01","yp_19",0,0.0649147494486253,0.215774081514435,0.457,11.178875,-24.3993976663018,0.142045403607495,0.472153351235086
"70","PNE-YLP-01","yp_19",3,0.063139116,0.199014759,0.454,11.44854545,-24.05454773,0.139072944,0.4383585
"71","PNE-YLP-01","yp_19",6,NA,NA,0.443,11.44,-24.44,15.13,45.87
"72","PNE-YLP-01","yp_19",9,NA,NA,0.457,11.7,-24.36,15.75,47.67
"73","PNE-YLP-02","yp_20",0,0.0640543096672155,0.204699218051093,0.45,10.756125,-22.8127997167099,0.14234291037159,0.454887151224652
"74","PNE-YLP-02","yp_20",3,0.064669017,0.20611464,0.458,11.58754545,-22.78503188,0.141198726,0.450031965
"75","PNE-YLP-02","yp_20",6,NA,NA,0.44,11.46,-22.68,14.47,44.07
"76","PNE-YLP-02","yp_20",9,NA,NA,0.445,11.27,-22.62,14.74,44.66
"77","STR-LMB-01","lmb_01",0,0.0601878573761779,0.194369824244041,0.444,14.4650909090909,-27.535882837655,0.135558237333734,0.437769874423516
"78","STR-LMB-01","lmb_01",3,0.067906028,0.210266863,0.468,14.56254545,-26.02050637,0.14509835,0.449288169
"79","STR-LMB-01","lmb_01",6,NA,NA,0.459,15.02,-25.93,12.97,38.8
"80","STR-LMB-01","lmb_01",9,NA,NA,0.463,14.9,-27.41,15.65,50.5
"81","WLD-LMB-07","lmb_02",0,0.0626579462869255,0.214572407675236,0.455,14.46825,-30.5482521152298,0.137709772059177,0.471587709176342
"82","WLD-LMB-07","lmb_02",3,0.06660055,0.217290781,0.478,14.48554545,-30.55142552,0.139331694,0.454583223
"83","WLD-LMB-07","lmb_02",6,NA,NA,0.458,14.67,-29.86,14.71,45.28
"84","WLD-LMB-07","lmb_02",9,NA,NA,0.448,14.85,-30.58,15.71,50.2
"85","WLD-LMB-08","lmb_03",0,0.065392061467476,0.216088029522249,0.466,14.598875,-29.444361470017,0.140326312161966,0.463708217858904
"86","WLD-LMB-08","lmb_03",3,0.065462019,0.20674134,0.455,14.79754545,-29.33103319,0.14387257,0.45437657
"87","WLD-LMB-08","lmb_03",6,NA,NA,0.456,14.92,-28.9,14.7,45.21
"88","WLD-LMB-08","lmb_03",9,NA,NA,0.455,15.08,-29.73,15.82,50.14
"89","WLD-LMB-12","lmb_04",0,0.0613728680115935,0.210085352274876,0.442,14.729875,-30.2801808661418,0.138852642560166,0.475306226866236
"90","WLD-LMB-12","lmb_04",3,0.067232762,0.217290781,0.484,15.07254545,-30.41662815,0.138910666,0.448947894
"91","WLD-LMB-12","lmb_04",6,NA,NA,0.454,15.23,-29.86,14.75,45.48
"92","WLD-LMB-12","lmb_04",9,NA,NA,0.445,15.12,-30.27,13.57,43.69
"93","WLD-LMB-11","lmb_05",0,0.0643824478967684,0.213618455294619,0.466,14.552875,-30.3410739589323,0.138159759435125,0.458408702348967
"94","WLD-LMB-11","lmb_05",3,0.061295162,0.191715473,0.432,14.63254545,-30.15203328,0.14188695,0.443785818
"95","WLD-LMB-11","lmb_05",6,NA,NA,0.46,14.82,-29.78,15.35,46.88
"96","WLD-LMB-11","lmb_05",9,NA,NA,0.434,14.87,-30.37,15.94,49.54
"97","WLD-LMB-04","lmb_06",0,0.0687583045363555,0.221810709412588,0.456,14.357125,-30.1618083913102,0.150785755562183,0.486426994325851
"98","WLD-LMB-04","lmb_06",3,0.060719055,0.194999541,0.453,14.82254545,-30.37181338,0.134037649,0.430462564
"99","WLD-LMB-04","lmb_06",6,NA,NA,0.446,14.68,-29.87,15.17,46.41
"100","WLD-LMB-04","lmb_06",9,NA,NA,0.463,14.85,-30.27,15.29,48.09
"101","WLD-LMB-09","lmb_07",0,0.0616529386883353,0.203487742477047,0.446,14.679375,-31.0868373275933,0.138235288538868,0.456250543670509
"102","WLD-LMB-09","lmb_07",3,0.068706557,0.219906098,0.486,15.14454545,-31.4038233,0.141371517,0.452481683
"103","WLD-LMB-09","lmb_07",6,NA,NA,0.455,14.9,-30.97,14.58,44.93
"104","WLD-LMB-09","lmb_07",9,NA,NA,0.443,14.86,-31.14,14.27,44.65
"105","WLD-LMB-10","lmb_08",0,0.0609828132234796,0.212123128373299,0.46,14.68725,-30.4738031726197,0.132571333094521,0.461137235594129
"106","WLD-LMB-10","lmb_08",3,0.064297489,0.201834907,0.439,14.61454545,-30.20912393,0.146463528,0.459760607
"107","WLD-LMB-10","lmb_08",6,NA,NA,0.443,15.01,-29.83,14.87,45.73
"108","WLD-LMB-10","lmb_08",9,NA,NA,0.462,15.06,-30.04,14.87,47.09
"109","WLD-LMB-05","lmb_09",0,0.0627499741870215,0.209848794834635,0.456,14.495375,-30.9081629346269,0.137609592515398,0.460194725514551
"110","WLD-LMB-05","lmb_10",3,0.067865659,0.221890646,0.488,14.58254545,-31.46712667,0.139068974,0.454693948
"111","WLD-LMB-05","lmb_11",6,NA,NA,0.459,17.32,-27.1,14.28,43.87
"112","WLD-LMB-05","lmb_09",9,NA,NA,0.46,14.85,-31.12,15.48,48.37
"113","WLD-LMB-06","lmb_10",0,0.0581880575244074,0.19407634361682,0.458,14.604375,-32.1449516567955,0.127048160533641,0.423747475145896
"114","WLD-LMB-06","lmb_10",3,0.068613504,0.214218326,0.47,14.82054545,-32.17407129,0.145986179,0.455783671
"115","WLD-LMB-06","lmb_10",6,NA,NA,0.452,15.03,-31.64,15.14,46.54
"116","WLD-LMB-06","lmb_10",9,NA,NA,0.471,14.88,-31.99,15.46,48.47
"117","MTA-LMB-01","lmb_11",0,0.0619411635870969,0.208640125826435,0.454,16.7843636363636,-27.4110155745719,0.136434281028848,0.459559748516378
"118","MTA-LMB-01","lmb_11",3,0.068192029,0.214450286,0.476,17.54454545,-27.51234538,0.143260565,0.45052581
"119","MTA-LMB-01","lmb_11",6,NA,NA,0.459,17.32,-27.1,14.28,43.87
"120","MTA-LMB-01","lmb_11",9,NA,NA,0.455,17.23,-27.53,14.76,45.23
"121","KTM-LMB-02","lmb_12",0,0.0633338126824978,0.208770743648137,0.457,14.911875,-25.6471826184495,0.138586023375269,0.456828760718024
"122","KTM-LMB-02","lmb_12",3,0.067290921,0.20873267,0.471,14.92354545,-25.46279355,0.142868197,0.443169151
"123","KTM-LMB-02","lmb_12",6,NA,NA,0.461,15.11,-25.13,15.49,46.59
"124","KTM-LMB-02","lmb_12",9,NA,NA,0.453,15.21,-25.66,15.3,46.52
"125","KTM-LMB-03","lmb_13",0,0.0631501151110257,0.216510207336903,0.464,16.173875,-26.6500993892546,0.136099386015142,0.466616826157118
"126","KTM-LMB-03","lmb_13",3,0.065680967,0.205002316,0.448,16.53054545,-26.06016149,0.146609302,0.457594456
"127","KTM-LMB-03","lmb_13",6,NA,NA,0.447,16.39,-25.8,13.18,39.81
"128","KTM-LMB-03","lmb_13",9,NA,NA,0.446,16.45,-26.31,14.52,44.17
"129","KTM-LMB-01","lmb_14",0,0.0643102836838675,0.210378292298913,0.464,16.955464709612,-24.9717195711235,0.13859974931868,0.453401492023519
"130","KTM-LMB-01","lmb_14",3,0.067412026,0.210668385,0.463,17.34754545,-24.97123596,0.145598329,0.455007311
"131","KTM-LMB-01","lmb_14",6,NA,NA,0.448,17.12,-24.6,15.02,45.32
"132","KTM-LMB-01","lmb_14",9,NA,NA,0.44,17.15,-25,15.47,47.27
"133","NTH-LMB-02","lmb_15",0,0.0599764819920251,0.195824733462119,0.451,12.0233636363636,-28.5364162400356,0.132985547654158,0.434201182842835
"134","NTH-LMB-02","lmb_15",3,0.06256643,0.197053271,0.428,12.54254545,-28.3970811,0.146183248,0.460404839
"135","NTH-LMB-02","lmb_15",6,NA,NA,0.427,12.44,-27.95,13.69,42.19
"136","NTH-LMB-02","lmb_15",9,NA,NA,0.454,12.85,-28.27,16.06,49.46
"137","PNE-LMB-01","lmb_16",0,0.063015371541991,0.208231380691425,0.446,12.394875,-25.2108016005219,0.141290070721953,0.466886503792433
"138","PNE-LMB-01","lmb_16",3,0.072230254,0.221562375,0.48,12.23354545,-24.81188723,0.150479696,0.461588282
"139","PNE-LMB-01","lmb_16",6,NA,NA,0.438,12.67,-24.92,14.47,45.78
"140","PNE-LMB-01","lmb_16",9,NA,NA,0.443,12.57,-25.28,13.35,41.88
"141","PNE-LMB-02","lmb_17",0,0.0644308638775514,0.221818033486829,0.463,12.99425,-24.4502921961035,0.139159533212854,0.479088625241531
"142","PNE-LMB-02","lmb_17",3,0.065797284,0.212571544,0.471,13.49554545,-23.74972216,0.139696993,0.451319626
"143","PNE-LMB-02","lmb_17",6,NA,NA,0.455,13.09,-23.52,12.9,39.31
"144","PNE-LMB-02","lmb_17",9,NA,NA,0.435,13.67,-23.98,15.87,49.9
"145","PNE-LMB-03","lmb_18",0,0.0650057285588666,0.214906571116169,0.462,12.636375,-24.1146844214051,0.140705040170707,0.465165738346685
"146","PNE-LMB-03","lmb_18",3,0.063008054,0.196377601,0.458,13.15063636,-23.36124606,0.13757217,0.428772056
"147","PNE-LMB-03","lmb_18",6,NA,NA,0.43,12.89,-23.55,14.6,45.89
"148","PNE-LMB-03","lmb_18",9,NA,NA,0.465,12.94,-23.54,15.84,50.08
"149","BVR-BBH-01","bbh_01",0,0.0609836952742686,0.1981932800842,0.441,10.4047272727273,-30.9198464315024,0.138285023297661,0.449417868671655
"150","BVR-BBH-01","bbh_01",3,0.064669657,0.216130629,0.473,10.54063636,-31.03572923,0.136722319,0.45693579
"151","BVR-BBH-01","bbh_01",6,NA,NA,0.448,10.55,-30.64,12.91,39.3
"152","BVR-BBH-01","bbh_01",9,NA,NA,0.453,10.61,-30.66,14.09,42.78
"153","TLV-BBH-01","bbh_02",0,0.0629584872674943,0.20411033106674,0.457,8.81645454545455,-28.429584934279,0.137764742379637,0.446630921371422
"154","TLV-BBH-01","bbh_02",3,0.067773037,0.21367512,0.475,8.421636364,-28.60203514,0.142680078,0.449842358
"155","TLV-BBH-01","bbh_02",6,NA,NA,0.454,8.86,-30.97,11.17,54.35
"156","TLV-BBH-01","bbh_02",9,NA,NA,0.467,9.13,-28.25,14.33,43.94
"157","TVL-BBH-02","bbh_03",0,NA,NA,NA,NA,NA,NA,NA
"158","TVL-BBH-02","bbh_03",3,0.066137953,0.199152124,0.461,8.133636364,-30.3439421,0.143466275,0.432000269
"159","TVL-BBH-02","bbh_03",6,NA,NA,0.476,7.83,-30.35,14.35,43.36
"160","TVL-BBH-02","bbh_03",9,NA,NA,0.425,8.51,-30.5,15.81,48.98
"161","PNE-BBH-01","bbh_04",0,0.0643929867026392,0.212006811164444,0.461,10.27925,-23.8543918239056,0.139681099138046,0.459884622916364
"162","PNE-BBH-01","bbh_04",3,0.060294079,0.184730224,0.43,9.707636364,-23.6895569,0.140218788,0.429605171
