"","species","d13C.3m","d13C.3m.sd","d13C.6m","d13C.6m.sd","d13C.9m","d13C.9m.sd","d15N.3m","d15N.3m.sd","d15N.6m","d15N.6m.sd","d15N.9m","d15N.9m.sd"
"1","YP",0.154846539444444,0.284972438758774,0.113595156666667,0.197627312931402,0.221372934444444,0.255302077331323,0.350868718666667,0.245696384247064,0.392419227388889,0.213956155727521,0.355752560722222,0.292850701902986
"2","bbh",-0.368163682941176,1.60691484589721,-0.498294000588235,1.76304679561065,-0.268294000588236,1.70573274099446,-0.199563903647059,0.58178101506677,-0.120542513764706,0.638450854558472,0.188869250941177,0.551526849330274
"3","bgl",0.805189810555555,0.273758741195903,0.341756592222222,0.274748866528817,0.240089925555555,0.622534072260737,-0.0783111716666668,0.179603329539305,0.157325188333333,0.18341378900105,0.381214077222222,0.196203011330608
"4","lmb",0.194081574444444,0.475443449565871,0.557084797222222,0.335382861481862,0.0793070194444445,0.244439943727467,0.266166728333334,0.249792665820774,0.312060672222222,0.129864170932324,0.382060672222222,0.166673908710635
"5","nerka",1.01848723111111,0.473308469296812,1.16999964388889,0.494729895848553,1.18944408833333,0.576325555726034,0.25962727,0.545671200287801,0.4244,0.439108354576434,0.280511111111111,0.365919653490295
"6","pks",0.27127521,1.32199449853729,0.676499245555556,2.27906250662733,0.177054801111111,1.32711091308458,0.24492727,0.250336856238346,0.34590202,0.534997880264845,0.487013131111111,0.171905357558044
"7","rbt",-0.3730902775,1.79584806081294,-0.0967463437499999,1.68335531695055,0.0932536562499999,1.74648206969679,-0.6984572395,0.378839783534528,0.216281396875,0.43959094227032,0.365031396875,0.469383002928073
